@relation moon

@attribute att1 real
@attribute att2 real
@attribute class {clust1_, clust2_}

@data
0.88253,0.34488,clust1_
0.317771,0.331325,clust2_
0.373494,0.745482,clust2_
0.361446,0.588855,clust2_
0.439759,0.71988,clust2_
0.554217,0.308735,clust1_
0.501506,0.783133,clust2_
0.661145,0.243976,clust1_
0.703313,0.269578,clust1_
0.340361,0.365964,clust2_
0.896084,0.27259,clust1_
1.10392,0.634036,clust1_
0.686747,0.65512,clust2_
0.597892,0.152108,clust2_
1.01958,0.775602,clust1_
0.474398,0.161145,clust2_
0.626506,0.72741,clust2_
0.998494,0.399096,clust1_
0.64006,0.751506,clust2_
1.12651,0.724398,clust1_
1.08283,0.370482,clust1_
0.503012,0.384036,clust1_
0.891566,0.253012,clust1_
1.10843,0.506024,clust1_
0.903614,0.320783,clust1_
0.665663,0.709337,clust2_
0.421687,0.733434,clust2_
0.314759,0.429217,clust2_
0.474398,0.197289,clust2_
0.546687,0.820783,clust2_
1.02711,0.39759,clust1_
0.503012,0.605422,clust1_
0.310241,0.61747,clust2_
0.531627,0.299699,clust1_
0.509036,0.623494,clust1_
1.05271,0.570783,clust1_
0.700301,0.605422,clust2_
1.0256,0.424699,clust1_
0.364458,0.677711,clust2_
0.993976,0.286145,clust1_
0.304217,0.290663,clust2_
0.483434,0.21988,clust2_
0.445783,0.518072,clust1_
0.810241,0.26506,clust1_
0.665663,0.302711,clust1_
0.597892,0.807229,clust2_
0.510542,0.578313,clust1_
0.549699,0.358434,clust1_
1.04819,0.486446,clust1_
0.691265,0.536145,clust2_
0.356928,0.271084,clust2_
0.935241,0.328313,clust1_
0.566265,0.337349,clust1_
1.08133,0.406627,clust1_
0.521084,0.180723,clust2_
1.04518,0.73494,clust1_
0.47741,0.724398,clust2_
0.807229,0.314759,clust1_
0.915663,0.349398,clust1_
0.347892,0.658133,clust2_
0.653614,0.167169,clust2_
0.459337,0.451807,clust1_
1.0994,0.439759,clust1_
0.676205,0.50753,clust2_
0.28012,0.513554,clust2_
0.935241,0.295181,clust1_
0.259036,0.487952,clust2_
0.771084,0.301205,clust1_
0.728916,0.618976,clust2_
0.756024,0.277108,clust1_
0.277108,0.555723,clust2_
0.673193,0.638554,clust2_
0.689759,0.689759,clust2_
0.51506,0.346386,clust1_
0.365964,0.254518,clust2_
1.08133,0.531627,clust1_
0.39006,0.694277,clust2_
0.685241,0.731928,clust2_
0.850904,0.334337,clust1_
0.736446,0.641566,clust2_
0.634036,0.674699,clust2_
1.04819,0.775602,clust1_
0.337349,0.302711,clust2_
0.623494,0.167169,clust2_
0.39759,0.730422,clust2_
0.441265,0.465361,clust1_
0.48494,0.581325,clust1_
0.653614,0.478916,clust2_
0.27259,0.364458,clust2_
0.564759,0.167169,clust2_
1.05572,0.799699,clust1_
0.959337,0.391566,clust1_
0.343373,0.519578,clust2_
1.12651,0.674699,clust1_
0.713855,0.225904,clust1_
0.296687,0.460843,clust2_
1.06024,0.35241,clust1_
1.00602,0.475904,clust1_
0.706325,0.64006,clust2_
0.718373,0.596386,clust2_
0.959337,0.415663,clust1_
1.03464,0.590361,clust1_
0.248494,0.427711,clust2_
0.36747,0.293675,clust2_
0.40512,0.233434,clust2_
0.686747,0.61747,clust2_
0.506024,0.498494,clust1_
